,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,Mean
butterfly,22.635,21.861,22.07,22.989,20.855,20.571,22.341,22.142,20.515,21.315,19.986,20.894,21.315,21.971,21.089,21.896,21.365,22.026,21.077,21.751,22.535,22.532,21.309,20.356,20.946,22.655,22.031,22.323,23.178,22.225,22.753,23.494,21.287,20.168,21.927,21.037,22.493,22.616,23.135,22.587,20.814,22.046,20.885,21.885,22.813,22.616,20.711,21.518,22.466,21.487,21.052,22.068,21.332,21.428,21.725,22.061,20.717,22.636,21.326,21.221,21.491,22.916,22.529,21.451,21.923,21.21,23.431,22.903,20.785,21.358,22.523,22.398,21.543,22.764,20.376,21.633,21.845,20.923,21.445,22.818,22.27,20.522,22.142,22.586,22.268,21.202,22.745,22.622,21.678,22.015,20.378,23.475,22.539,23.475,23.136,20.637,23.057,21.091,21.895,22.775,21.537,23.095,22.206,22.775,23.442,23.184,20.402,22,22.29,20.843,21.125,21.594,22.024,21.862,22.381,21.073,21.058,22.844,21.713,20.73,21.737,22.069,20.934,21.796,21.123,22.738,21.183,21.324,22.186,22.543,20.404,22.152,22.653,22.608,22.211,22.453,21.148,23.022,23.212,21.973,21.051,21.123,22.508,20.974,21.258,21.701,21.56,22.296,21.77,21.636,20.606,20.207,22.708,21.405,20.379,21.665,21.282,20.562,21.115,20.58,22.586,21.99,20.927,21.801,22.599,22.465,21.247,21.066,22.282,23.066,22.991,20.984,20.979,22.186,21.027,21.29,20.789,21.754,22.528,22.269,22.443,21.111,22.196,20.628,22.652,20.542,21.437,22.998,21.688,21.034,20.9,23.732,22.119,21.281,20.829,22.278,21.618,21.071,22.517,21.445,21.806045
bed,24.113,23.382,23.827,23.846,23.394,22.761,23.195,22.868,22.385,22.886,22.426,21.067,23.56,23.041,22.053,23.291,22.985,21.633,23.286,22.777,23.703,23.26,21.541,23.048,23.08,22.984,22.501,22.739,23.046,23.504,23.135,23.397,21.465,21.621,23.317,22.876,22.837,23.113,23.37,23.297,21.699,23.589,22.432,22.872,23.288,23.105,22.877,23.822,22.943,23.243,23.429,21.824,22.911,23.025,23.332,22.697,22.428,22.946,23.106,23.002,23.552,22.871,22.915,22.556,23.599,23.433,22.82,22.956,22.957,21.842,23.58,23.411,22.74,22.849,23.834,23.532,23.264,23.728,23.339,23.687,21.811,22.52,23.494,23.326,23.859,23.921,21.61,23.201,21.568,23.542,22.932,22.969,23.455,21.898,23.192,23.091,23.371,21.594,23.276,23.896,23.061,22.901,22.706,21.487,21.551,22.248,23.761,23.187,22.64,23.627,22.773,22.686,22.845,22.98,22.031,22.709,21.577,23.089,23.922,22.329,23.943,22.836,23.109,23.389,22.563,23.456,22.972,22.953,23.058,22.683,23.119,23.461,22.89,22.945,23.612,23.099,22.796,23.332,23.403,21.57,23.065,23.489,22.998,23.619,21.431,22.686,21.66,23.446,23.312,22.566,23.609,23.177,23.491,23.251,23.515,22.474,22.75,24.016,22.881,21.589,22.564,22.963,23.062,22.818,23.041,23.091,23.192,24.112,23.337,22.865,22.917,23.144,21.356,23.839,22.906,22.95,24.175,22.048,21.714,23.081,23.472,22.862,23.325,22.753,22.747,21.791,23.577,23.142,22.83,23.333,23.366,23.077,22.309,22.327,22.666,23.211,24.089,21.672,22.935,23.145,22.946495
girl,21.982,19.718,22.167,21.914,22.057,21.421,20.08,20.845,21.862,21.883,20.488,21.951,21.395,21.879,22.362,22.201,21.518,22.207,20.659,22.059,20.938,20.9,21.917,20.16,20.835,22.428,21.281,21.585,21.283,21.451,20.791,21.368,22.089,21.372,21.768,20.156,20.503,20.807,22.352,21.695,21.604,20.08,21.849,21.316,20.363,21.097,22.18,19.985,22.034,21.405,21.177,21.946,22.121,22.011,22.347,22.092,23.147,20.361,20.458,22.019,21.842,21.846,22.313,20.568,21.622,20.467,22.085,22.252,21.859,20.598,19.811,21.724,21.295,22.227,22.332,20.999,21.371,20.996,21.108,21.378,20.739,20.986,22.375,20.704,19.823,20.573,20.941,21.991,21.57,19.36,21.537,22.017,21.05,20.039,21.032,20.066,23.162,22.128,22.337,22.311,20.892,20.989,21.956,21.42,20.755,21.259,20.813,22.36,21.862,21.996,20.499,20.947,20.938,20.956,22.065,21.906,20.069,22.8,22.118,22.232,20.946,20.961,22.413,20.938,21.299,20.657,21.488,21.729,20.602,22.068,20.619,22.055,21.909,21.403,22.121,20.975,20.584,21.385,20.675,22.101,21.773,22.049,22.015,21.281,21.359,21.854,20.911,20.818,20.872,21.143,21.333,20.578,21.312,21.804,21.211,20.985,22.198,22.373,21.179,21.976,21.067,21.054,22.526,21.23,21.322,21.186,21.296,21.538,21.006,21.9,21.37,21.417,21.513,22.541,22.093,21.274,22.352,22.305,20.148,20.942,22.123,21.87,20.737,21.656,21.687,21.61,22.066,20.397,21.611,22.249,21.433,21.193,21.684,20.559,21.451,21.331,22.174,21.829,21.836,20.898,21.423055
telephone,21.2,24.663,23.579,24.443,26.281,22.309,24.199,24.906,23.346,24.424,24.65,25.084,24.218,23.427,24.548,23.035,24.54,23.199,23.052,24.549,24.366,24.872,23.983,23.787,21.86,23.576,25.02,23.776,23.894,23.913,25.211,21.783,24.505,23.841,24.821,25.696,21.781,23.835,24.84,24.906,23.597,21.82,24.29,24.166,24.621,25.184,25.177,25.937,25.108,25.832,23.552,23.743,23.169,23.909,24.505,25.041,25.277,21.736,24.101,24.453,24.132,25.13,24.611,23.967,23.859,25.087,25.327,25.728,23.264,26.12,25.443,24.849,23.72,25.217,25.595,25.314,24.582,25.845,23.534,22.536,25.182,25.383,24.643,25.032,22.691,24.155,25.029,24.621,23.334,24.985,21.814,25.605,22.624,25.024,24.588,23.993,24.279,24.432,24,22.807,24.707,24.698,25.382,25.443,21.762,23.876,23.985,25.565,24.641,24.97,24.773,23.722,22.777,25.36,24.092,24.032,23.688,22.932,25.097,21.716,25.47,24.927,24.734,24.288,24.248,25.034,24.636,22.019,24.014,24.138,25.953,23.157,21.819,23.078,24.923,24.782,24.641,25.362,24.638,23.148,24.714,24.44,23.702,23.851,24.337,21.257,23.705,24.643,25.05,24.696,23.671,25.152,24.482,25.929,22.28,22.008,25.111,24.375,23.54,24.949,25.327,25.821,25.545,24.457,23.99,23.696,23.578,24.842,24.259,25.719,24.093,23.132,24.235,24.884,21.69,21.777,25.251,25.073,23.945,23.626,22.964,24.677,23.957,24.679,24.214,23.834,25.044,23.303,22.151,24.644,24.428,21.61,21.845,23.16,21.55,23.672,23.767,24.018,23.767,23.057,24.143085
baby,21.447,21.668,22.373,22.458,21.214,22.295,22.515,20.211,21.593,21.966,20.497,20.899,22.705,22.839,21.072,21.796,22.194,21.782,20.976,22.396,23.138,22.379,22.021,22.569,20.625,22.244,21.933,21.753,20.685,21.797,20.12,21.76,20.63,21.148,21.527,21.701,20.783,20.975,20.927,20.587,22.384,21.497,20.539,20.751,22.741,22.451,20.729,22.391,21.256,21.023,20.781,21.553,21.783,20.879,20.223,20.898,21.219,20.712,22.654,20.585,20.174,20.888,20.819,20.54,21.169,21.778,22.444,20.868,21.06,20.703,21.698,20.984,20.773,20.341,21.566,22.381,21.792,20.559,22.87,22.468,20.806,20.747,22.901,21.013,22.64,22.216,20.222,21.003,22.36,22.413,20.863,22.977,21.9,21.412,22.121,22.306,22.175,22.445,20.734,22.415,21,21.116,21.519,20.494,20.693,20.658,20.341,21.263,20.674,22.942,22.574,22.4,20.976,22.477,20.857,21.2,21.046,21.276,22.127,22.496,20.825,22.405,20.835,20.676,21.789,20.643,20.759,20.636,20.57,20.843,20.775,22.421,20.741,21.959,21.39,21.799,20.734,21.949,20.726,21.026,20.37,21.03,20.106,20.465,22.341,20.556,20.813,20.651,21.14,22.514,22.861,20.341,20.424,21.926,21.911,20.914,20.76,20.153,21.769,22.028,20.25,20.661,22.881,21.428,22.414,22.379,21.673,20.518,20.695,20.606,22.545,21.256,22.495,20.184,20.623,20.871,20.341,20.628,20.497,21.691,22.429,20.341,21.668,22.098,22.535,22.08,20.341,20.579,22.876,20.379,20.987,22.227,22.345,23.153,21.713,20.535,22.92,20.53,19.952,21.294,21.41556
sweet pepper,20.927,22.512,20.899,22.511,20.151,20.353,21.234,20.5,21.245,20.617,20.454,20.643,21.362,21.016,21.306,21.021,21.77,21.585,21.755,21.18,21.536,20.74,20.797,20.793,21.057,20.35,22.019,21.099,21.566,20.304,21.471,21.145,22.186,22.485,20.93,20.41,22.385,22.134,21.45,20.694,22.444,21.694,19.792,21.19,22.073,20.949,22.197,19.856,21.299,20.451,20.576,21.493,21.325,21.124,22.361,20.545,21.543,21.084,21.212,20.569,21.872,20.997,21.591,22.215,22.151,22.117,20.767,20.59,22.358,20.003,21.181,20.303,21.72,21.059,20.954,22.192,20.503,20.645,20.849,22.007,19.796,21.957,21.757,20.343,21.474,20.126,20.913,22.04,21.09,20.49,22.199,21.108,21.037,22.501,21.647,21.165,21.691,21.894,20.34,20.978,21.172,21.688,21.754,20.183,20.208,21.366,20.496,22.139,22.527,20.65,21.175,21.475,21.435,20.842,20.427,22.174,20.954,20.3,22.608,20.372,20.925,22.602,20.355,22.027,21.187,20.818,20.888,21.144,21.298,22.415,20.935,22.498,22.352,20.927,21,22.005,21.564,22.428,21.913,21.36,21.737,20.486,21.444,20.48,20.099,21.132,21.252,22.303,21.764,20.977,20.659,21.203,22.035,20.798,20.979,20.838,21.408,21.761,22.313,21.315,20.981,20.786,21.401,21.432,22.378,21.35,21.472,21.069,21.192,20.401,21.957,22.173,22.416,21.3,22.413,21.027,21.689,22.204,21.275,21.692,21.597,20.831,20.841,21.383,21.801,21.572,20.921,21.771,21.126,21.694,20.762,21.642,20.78,22.581,22.387,20.828,21.655,21.326,21.188,20.782,21.30317
house,23.225,22.342,24.413,24.031,23.633,24.774,19.753,21.279,22.311,23.804,19.857,21.714,22.222,23.564,23.258,21.235,21.415,23.616,23.959,22.872,24.274,21.641,23.86,23.878,23.256,23.727,21.38,20.041,21.597,21.658,22.566,22.549,22.717,23.912,21.759,24.361,23.641,19.679,22.736,23.67,21.842,23.1,23.258,21.809,21.342,24.618,24.36,23.949,22.104,21.307,22.448,22.741,21.251,22.453,23.707,23.951,24.27,22.934,23.593,23.383,21.289,23.343,19.462,22.675,20.946,20.059,22.514,23.673,22.938,19.801,22.311,21.362,23.749,23.468,19.704,23.539,19.837,23.727,21.997,20.008,23.769,23.749,21.107,22.914,24.064,23.233,24.083,19.626,23.845,18.97,23.486,19.874,23.78,23.753,24.222,23.698,19.467,24.487,23.696,24.297,23.544,22.497,21.412,22.627,22.221,19.51,23.555,24.342,22.749,23.143,21.757,21.226,21.213,24.426,23.192,21.874,24.137,21.373,23.26,23.804,21.313,24.398,24.106,24.089,22.053,23.011,22.73,22.675,21.34,23.593,23.806,22.602,24.18,23.113,24.368,19.784,22.627,23.727,23.415,24.275,23.115,23.738,24.394,24.157,22.353,23.722,22.925,23.28,23.25,23.129,22.94,22.859,23.123,21.386,19.428,19.948,23.273,19.964,20.01,23.642,20.759,20.571,23.615,21.32,21.377,20.045,23.078,21.353,22.677,21.59,23.774,22.82,23.906,23.116,23.106,21.578,21.359,23.492,21.619,23.373,23.777,23.663,22.298,21.645,23.45,22.489,23.709,23.943,23.537,22.591,23.679,24.196,24.417,23.798,22.435,24.044,22.097,23.25,22.877,21.19,22.642185
tiger,22.297,22.156,21.927,22.691,22.421,21.927,21.836,23.102,22.82,22.212,21.592,22.369,22.691,21.875,22.867,22.543,22.796,22.12,22.774,22.129,22.323,22.837,21.834,22.391,21.979,23.281,22.265,22.34,22.612,22.735,22.349,22.578,21.846,21.253,22.094,22.017,22.235,22.018,21.814,21.807,21.57,22.078,22.365,22.583,22.595,22.415,22.076,22.815,22.683,22.146,22.159,22.162,22.098,21.88,22.606,22.519,21.922,22.627,22.157,22.485,22.126,22.213,23.321,22.616,23.03,22.107,21.245,22.126,22.779,22.55,21.914,22.083,22.666,22.447,22.072,22.835,22.211,21.388,22.116,22.781,22.072,21.953,22.978,21.953,21.96,21.986,22.704,22.627,21.781,22.064,21.979,22.242,22.167,22.708,22.077,22.348,21.987,21.978,22.775,22.792,22.522,22.466,23.059,22.664,22.539,22.699,22.103,22.144,23.019,22.62,22.466,22.837,22.624,22.39,22.619,23.097,22.147,21.836,22.62,22.267,22.432,22.553,22.182,23.029,22.05,21.992,22.023,21.9,22.085,22.902,22.3,23.019,22.591,22.346,22.685,22.139,22.588,21.945,22.256,21.645,21.866,22.359,22.278,22.292,22.628,23.283,22.094,22.945,23.185,22.665,22.521,22.699,22.211,22.587,22.301,22.993,22.725,21.989,21.897,22.091,22.304,22.735,22.395,22.364,21.836,21.623,22.57,22.01,21.846,21.993,22.636,22.025,21.822,22.208,21.941,22.99,22.113,21.987,22.336,22.096,22.16,21.9,21.994,22.206,21.867,22.065,22.844,22.09,22.374,22.743,22.875,22.582,22.596,22.524,21.923,21.85,22.163,22.216,21.177,21.891,22.32165
mountain,22.223,24.347,21.492,24.392,22.799,22.221,24.036,24.077,22.637,23.332,23.384,23.217,22.882,22.362,23.323,23.747,23.708,22.782,22.785,22.811,22.645,23.813,22.983,24.569,24.081,22.597,22.712,23.845,22.502,22.408,24.692,23.272,24.537,22.318,23.973,22.565,22.615,22.356,24.143,24.617,23.944,22.27,22.823,23.723,22.65,22.815,22.82,24.237,23.984,22.38,22.591,23.722,23.272,22.535,22.374,24.133,24.154,23.305,22.668,23.949,22.699,22.297,23.607,23.148,23.424,20.935,23.341,23.224,22.873,22.534,23.562,22.311,22.803,22.662,22.668,23.244,23.35,22.858,23.565,22.125,22.264,24.012,23.316,22.379,23.506,22.816,22.253,22.64,22.912,24.802,22.77,24.033,24.316,22.541,20.894,24.147,22.629,23.312,22.23,23.138,22.3,22.915,22.894,22.285,23.223,24.656,22.832,22.829,22.942,22.284,22.689,24.253,23.364,23.04,23.634,23.326,22.373,22.881,23.165,24.026,23.44,24.297,22.914,22.85,22.05,22.752,23.321,23.671,22.315,22.299,23.301,20.689,22.801,22.676,24.152,22.735,22.79,24.215,22.654,22.718,23.935,22.429,22.856,24.206,22.714,24.102,22.398,23.205,23.994,23.322,22.86,22.619,24.551,23.239,22.137,24.244,22.941,22.861,24.374,22.889,24.32,23.077,23.22,23.167,24,23.274,22.745,23.211,23.019,22.801,22.456,22.551,23.311,23.015,22.895,22.744,22.746,22.786,22.276,22.281,23.992,24.375,22.611,22.378,23.929,22.678,24.203,22.855,21.623,23.868,22.971,22.338,22.205,24.227,22.335,22.85,22.641,23.083,24.43,22.896,23.105495
elephant,23.584,21.075,22.075,22.622,23.076,22.806,22.579,23.817,22.472,22.712,23.666,22.781,20.9,23.509,22.145,24.043,22.762,25.769,23.873,22.682,23.216,25.083,23.519,23.3,23.553,24.886,22.635,23.812,24.703,23.61,24.359,23.627,23.825,23.817,23.772,22.123,23.921,22.673,21.925,24.057,22.615,23.752,23.643,23.617,22.716,23.859,20.895,22.587,22.219,22.795,23.808,23.498,22.009,22.707,22.606,25.051,22.886,22.656,22.731,25.185,23.398,24.612,22.006,24.762,22.658,20.909,24.344,23.464,20.535,24.589,21.037,21.932,23.381,23.833,21.988,22.826,22.049,24.01,23.759,22.766,24.737,23.881,20.854,23.271,23.952,22.696,22.856,22.72,22.876,20.852,22.799,21.025,22.023,22.49,21.107,23.214,23.353,23.796,22.134,23.44,23.972,22.434,22.644,23.291,23.484,22.046,20.804,23.351,22.17,22.73,23.874,23.646,23.472,23.913,21.035,22.712,22.868,22.731,22.526,23.651,22.597,24.15,23.566,23.177,24.89,23.915,25.054,23.89,22.913,20.977,23.543,24.362,22.669,22.487,23.254,24.599,23.267,23.871,22.066,24.594,21.094,23.574,20.933,23.513,21.11,23.732,22.752,23.278,23.831,22.793,22.134,21.955,24.168,23.971,22.914,24.113,23.616,21.083,23.959,22.514,22.907,22.896,21.925,20.962,22.724,22.805,22.518,20.952,23.89,24.72,23.862,23.183,24.832,23.604,23.717,23.465,22.647,22.802,22.838,22.802,23.706,22.797,22.581,23.78,23.714,23.786,21.812,23.673,24.038,22.167,22.542,23.934,20.99,22.921,24.098,24.967,22.238,22.922,24.992,23.749,23.079115
